Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,BIS No,BIS SEC,MRP,MFG BY,IMAGE
Kappa 10,ATFL1030,48V DC,NA,2700K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/27,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3mpJmJcv%2Fkappa-10-black.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,3000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/30,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3mpJmJcv%2Fkappa-10-black.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,3500K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/35,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3mpJmJcv%2Fkappa-10-black.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,40000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/40,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3mpJmJcv%2Fkappa-10-black.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,5000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/50,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3mpJmJcv%2Fkappa-10-black.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,2700K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/27/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC58D7D2p%2Fkappa-10-white.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,3000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/30/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC58D7D2p%2Fkappa-10-white.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,3500K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/35/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC58D7D2p%2Fkappa-10-white.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,40000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/40/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC58D7D2p%2Fkappa-10-white.png&output=webp&q=78
Kappa 10,ATFL1030,48V DC,NA,5000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/50/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC58D7D2p%2Fkappa-10-white.png&output=webp&q=78
